Наименование;Цвет;Размер;Цена;Всего единиц;Сумма
CLE B001к Бикини жен.;бежевый;52;118,63;1;118,63
CLE B001к Бикини жен.;белый;42;109,14;2;218,28
CLE B001у Бикини жен.;св.бежевый;44;109,14;1;109,14
CLE B003р Бикини жен.кружево;чёрный;46;142,35;1;142,35
CLE B003р Бикини жен.кружево;чёрный;50;142,35;1;142,35
CLE B016 трусы жен.;черный;XXL;118,63;1;118,63
CLE B016у Бикини жен.лапша;белый;42;109,14;1;109,14
CLE B016у Бикини жен.лапша;белый;48;109,14;1;109,14
CLE B016у Бикини жен.лапша;чёрный;42;109,14;1;109,14
CLE B050 трусы жен.;белый;S;128,12;1;128,12
CLE B113/1к Бикини жен.кружево;белый;50;123,37;1;123,37
CLE B16-470/1к Бикини жен.бамб;св.бежевый;48;151,84;1;151,84
CLE B347/1 Бикини жен.кружево;чёрный;44;132,86;1;132,86
CLE B347р Бикини жен.кружево;белый;46;128,12;1;128,12
CLE B347р Бикини жен.кружево;чёрный;44;128,12;2;256,24
CLE B351к Бикини жен.кружево;белый;42;128,12;1;128,12
CLE B495 Бикини жен.Кружево;белый;42;128,12;1;128,12
CLE B507 Бикини жен.Кружево;чёрный;44;151,84;1;151,84
CLE BR001у Бразилиано жен.;чёрный;42;109,14;1;109,14
CLE BR016у Бразилиано жен.;белый;48;109,14;1;109,14
CLE BR016у Бразилиано жен.;чёрный;42;109,14;1;109,14
CLE BR016у Бразилиано жен.;чёрный;44;109,14;1;109,14
CLE BR488/1 Бразилиано жен.Мор;синий/белый;48;128,12;1;128,12
CLE BR489/1 Бразилиано жен.Вис;розовый;50;166,08;1;166,08
CLE C001 Трусы жен.;белый;44;118,63;1;118,63
CLE C001 Трусы жен.;чёрный;44;118,63;1;118,63
CLE C001у Трусы жен.;св.бежевый;50;118,63;1;118,63
CLE C002к Трусы жен.;чёрный;48;118,63;1;118,63
CLE C010 Трусы жен.кружево;чёрный;50;151,84;1;151,84
CLE C014/1 трусы жен.;черный;XXL;132,86;1;132,86
CLE C023 Трусы жен.кружево;чёрный;50;151,84;1;151,84
CLE C081 Трусы жен.кружево;белый;50;132,86;1;132,86
CLE C128 Трусы жен.цветок;чёрный;48;131,96;1;131,96
CLE C128 трусы жен.;чёрный;M;131,96;1;131,96
CLE C242к Трусы жен.па;белый;44;227,76;1;227,76
CLE LDR15-460 Платье д.жен.Обе;коричневый/розовый;42;636,87;1;636,87
CLE LDR15-460 Платье д.жен.Обе;коричневый/розовый;46;636,87;2;1273,74
CLE LDR16-545 Платье д.жен.Ска;меланж бежевый/т.серый;44;711,75;2;1423,5
CLE LDR16-545 Платье д.жен.Ска;меланж бежевый/т.серый;48;711,75;1;711,75
CLE LDR26-491 Платье дом.ж.Мин;розовый/белый;46;711,75;1;711,75
CLE LDR26-518/1 Платье дом.жЭс;розовый;42;702,26;1;702,26
CLE LF007у Фуфайка жен.кружево;чёрный;48;245,79;1;245,79
CLE LF16-100/1у Фуфайка жен.ФУ;малиновый;50;370,11;1;370,11
CLE LF26-486/1 Фуфайка жен.Мон;белый;50;304,2;1;304,2
CLE LL002 легинсы жен. длинные;черный;L;389,09;1;389,09
CLE LL002 легинсы жен. длинные;черный;M;389,09;1;389,09
CLE LL16-545 Брюки жен.Сказ л;меланж бежевый/т.серый;44;446,03;1;446,03
CLE LM001/1 майка жен.;чёрный;XS;208,78;1;208,78
CLE LM005у майка жен.кружево;чёрный;50;213,53;1;213,53
CLE LP16-536/1 Пижама жен.Ален;св.розовый/т.красный;42;996,45;1;996,45
CLE LP16-545 Пижама жен.Сказ л;молочный/меланж бежевый;50;711,75;1;711,75
CLE LP16-545/1 Пижама жен.Сказ;меланж бежевый/св.розовый;46;1134,06;1;1134,06
CLE LP16-545/2 Пижама жен.Сказ;св.малиновый/св.розовый;46;1134,06;2;2268,12
CLE LP25-425/1 Пижама ж.Звездо;св.сиреневый/т.синий;44;703,21;2;1406,42
CLE LP25-425/1 Пижама ж.Звездо;св.сиреневый/т.синий;50;703,21;1;703,21
CLE LP26-471/1 Пижама жен. Кот;св.зелёный/меланж св.малиновый;48;939,51;1;939,51
